Restaurant	Food restrictions	Menu
Luovuus kukkii kaaoksesta	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Päivän menu : Valitse 4 annosta listalta + juurileipäHuomioimme menussa etukäteen ilmoitetut erityisruokavaliot ja allergiat.Alkaen 60 €Lisäksi:Yksittäiset annokset 14€ - 24€Juustot 13€Jälkiruoka 10 - 15€
Ravintola MyStuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Pieni lämmin Gruyère -leipä
		Starters | Makumatka Alpeille : sveitsiläiset juustot, ilmakuivattu kinkku, kauden hillo
		"Starters | Pekoni Flammkuchen : creme fraiche, sinihomejuusto, pekoni, kuivattu viikuna, rucola ja pikkelöity punasipuli ohuella ja rapeaksi
paistetulla (hiivattomalla) taikinapohjalla"
		Fondue | Juustofondue : Autenttinen sveitsiläinen juustofondue 35€/per henkilö
		Mains | Cordon Bleu “Sveitsin klassikko” : porsaan ulkofile, Gruyèrellä ja kinkulla täytetty paneroitu leike, ranskalaiset ja sitruunamajoneesi
		Mains | Veggie Älplermagronen : sveitsiläinen makarooni-perunapaistos, Gruyère, kirsikkatomaatit, herkkusienet, omenahillo, saatavilla pekonilla 22 €
		Mains | Vasikkaa “Zürichin tapaan” : vasikan ulkofile, röstiperuna, kermainen herkkusienikastike ja pikkelöity punakaali
Gaucho	['Gluten-free', 'Vegan', 'Vegetarian']	Salads | Mozzarella & rucolasalaatti
		Salads | Caesarsalaatti
		Pork | Ribs & Gaucho Bbq Marinadi
		Pork | Chorizo
		Beef | Picanha
		Beef | Filet mignon - Sisäfile
Finlandia Caviar	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | KAVIAARI KANANMUNAPEDILLÄ (2KPL) : Finlandia Caviar Selection -kaviaari kruunaa kevyesti keitetyn kananmunan, johon on sekoitettu tryffelivoita ja merisuolaa. Tarjoillaan kuoren sisältä.
		Mains | HUMMERIHODARI KAVIAARILLA : Hummerinlihaa 100 g ja 10 g Finlandia Caviar Selection – kaviaaria.
		Mains | Save the date! 🥳 Finlandia Caviar birthday party : Three days! On 9-11 of October we will celebrate our 9th birthday! Join us on this special day.We will serve free desserts for all our guests who booked a table.What other surprises and special prices we have prepared for you?✔️Four Fine de Claire oysters: 9€✔️ Six different oysters: 19€✔️Set of three caviar caps: 19€✔️Lobster roll 19€❗️Important! We have limited amount of seats. Please make sure you book a table in advance.
		Mains | KAVIAARI JA SAMPPANJAKEITTO : Kermainen keitto Finlandia Caviar Selection - kaviaarilla samppanjalla ja uppomunalla tarjollaan voissa pastetun vaalean paahtoleivän päältä
		Mains | TRYFFELIPASTA : Käsintehtyä tagliolini-pastaa, tryffelivoita, pecorino-juustoa, mustaa suolaa ja tuoreita tryffelilastuja.
