Restaurant	Address
Luovuus kukkii kaaoksesta	Pieni Roobertinkatu 13, 00130 Helsinki
Ravintola MyStuu	Uudenmaankatu 13, 00120 Helsinki
Gaucho	Aleksanterinkatu 9, 00100 Helsinki
Finlandia Caviar	Eteläranta 20, 00130 Helsinki
Restaurant Armenian House	Lönnrotinkatu 27, 00180 Helsinki
The Alley	Fleminginkatu 8, 00530 Helsinki
The Butter Boys	Aallonhalkoja 5, 00540 Helsinki
Ravintola KuuKuu	Museokatu 17, 00100 Helsinki
Daily Dose	Hämeentie 68 C, 00550 Helsinki
Passio	Kalevankatu 13, 00100 Helsinki
Ravintola Ani	Telakkakatu 2, 00150 Helsinki
Pompier ESPA	Eteläesplanadi  8, 00130 Helsinki
Gastro Cafe Kallio	Fleminginkatu 7, 00530 Helsinki
Georgian Kitchen	Albertinkatu 7, 00150 Helsinki
Levant Bulevardi	Bulevardi 15, 00120 Helsinki
Three Belly’s Pizza	Töölöntullinkatu 4a, 00250 Helsinki
Osteria dei Mancini	Tehtaankatu 38, 00150 Helsinki
Ravintola Kuu	Töölönkatu  27, 00260 Helsinki
Saiko Robata	Fredrikinkatu 47, 00100 Helsinki
Rioni Helsinki	Kasarmikatu 25, 00130 Helsinki
John Scott's Arkadia	Salomonkatu 1, 00100 Helsinki
Ravintola Muru	Fredrikinkatu 41, 00120 Helsinki
Shabu House	Hämeentie 31, 00500 Helsinki
Osteria dei Gusti	Töölönkatu 1, 00100 Helsinki
Lappi Ravintola	Annankatu 22, 00100 Helsinki
Ravintola Kabuki	Lapinlahdenkatu 12, 00180 Helsinki
Yeastie Boi	Annankatu 29b, 00100 Helsinki
Ravintola Lehtovaara	Mechelininkatu 39, 00250 Helsinki
Winest	Unioninkatu 30, 00100 Helsinki
Piccola Trattoria Kalasatama	Capellastranden 6, 00580 Helsinki
Oishi 18 Katajanokka	Kruunuvuorenkatu 4, 00160 Helsinki
Noodle Story Freda	Fredrikinkatu 36, 00100 Helsinki
Lie Mi Töölö	Runeberginkatu 56, 00260 Helsinki
Oishi 18 Kallio	Vaasankatu 18, 00500 Helsinki
OPPA Korean BBQ Kluuvi	Aleksanterinkatu 9, 00100 Helsinki
Oishi 18 Töölö	Pohjoinen Hesperiankatu 15, 00260 Helsinki
OPPA Korean BBQ Kaisaniemi	Kaisaniemenkatu 3, 00100 Helsinki
GOODWIN The Steak House	Eteläranta 14, 00130 Helsinki
Lie Mi Kamppi	Urho Kekkosen katu 1, 00100 Helsinki
Gastro Hub	Unioninkatu 30, 00100 Helsinki
Konstan Möljä	Hietalahdenkatu 14, 00180 Helsinki
Ravintola Segreto	Kaarlenkatu 11, 00530 Helsinki
Alfons Pizza	Vuorimiehenkatu 35, 00150 Helsinki
Itsudemo Helsinki	Salomonkatu 3, 00100 Helsinki
Mizore Sushi & Sticks	Vilhonvuorenkatu 7-9, 00500 Helsinki
Lie Mi Kallio	Siltasaarenkatu 13, 00530 Helsinki
Ravintola Domo	Kalevankatu 21, 00100 Helsinki
Ravintola Pastis	Pieni Roobertinkatu 2, 00130 Helsinki
Be My Guest	Välimerenkatu 14, 00220 Helsinki
Locanda Scappi	Kanavakatu 1, 00160 Helsinki
Retro Enoteca	Vuorikatu 16, 00100 Helsinki
Vibami - Vietnamese Kitchen	Kluuvi Shopping Centre, Yliopistonkatu 6, 00100 Helsinki
Mauritz	Munkkiniemen puistotie 17, 00330 Helsinki
Ravintola Carelia	Mannerheimintie 56, 00260 Helsinki
Ristorante Il Trio	Mannerheimintie 63, 00250 Helsinki
The Tart	Yrjönkatu 2, 00120 Helsinki
Restaurant BRO	John Stenbergin ranta 4, 00530 Helsinki
Bistro Le Coin	Siltasaarenkatu 10, 00530 Helsinki
